,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
1308,Ferguson Brewing Company,22917,3.38,38.7381794,-90.30232559999999,4.6
1310,Ferme Brasserie Schoune,771,3.28,45.2956152,-74.3394759,4.4
1313,Fiddlehead Brewing Company,27919,4.25,44.3662006,-73.2326877,4.5
1314,Figure 8 Brewing,22319,3.75,41.4665264,-87.0612036,4.5
1315,Finger Lakes Beer Company,24162,4.12,42.3994396,-77.2260209,4.4
1318,Fire Island Beer Company,20476,3.61,40.76109539999999,-73.26346699999999,0
1319,Fire Mountain Brew House,21554,3.7,45.294393,-123.317407,0
1325,Five Seasons North,15324,4.15,33.9080426,-84.38077729999999,4.1
1326,Five Seasons Prado,1032,3.96,33.9080426,-84.38077729999999,4.1
1327,Five Seasons Westside,20017,4.06,33.7789357,-84.4102633,4.1
1329,Flagstaff Brewing Company,6266,3.9,35.197463,-111.6483872,3.8
1331,Flat Earth Brewing Company,15642,3.86,44.9623478,-93.0717821,4.6
1332,Flat Tail Brewing,22194,3.78,44.5626745,-123.2597467,4.3
1333,Flathead Lake Brewing Company,12496,3.5,48.06421599999999,-114.0836357,4.4
1334,Fletcher Street Brewing Company,12912,3.45,45.064746,-83.4299145,0
1336,Florida Beer Company,161,3.18,28.398969,-80.611402,4.6
1337,Flyers Restaurant And Brewery,14503,3.75,48.29913759999999,-122.6528022,3.9
1339,Flying Dog Brewery,68,3.7,39.362807,-77.426773,4.6
1340,Flying Fish Brewing Company,339,3.8,39.8538279,-75.0202372,4.7
1341,Flying Monkey Brewing Company,906,3.5,44.389187,-79.686426,4.6
1342,Flying Monkeys Craft Brewery,10796,3.73,44.389187,-79.686426,4.6
1343,Foggy Noggin Brewing,22434,4.0,47.79449229999999,-122.1610588,4.9
1346,Fordham Brewing Company,4067,3.63,39.1536216,-75.4882514,4.8
1348,Fort Collins Brewing,6372,3.61,40.5863502,-105.0758137,4.7
1349,Fort Street Brewery,10889,3.82,42.2520872,-83.1759225,4.1
1356,Four Friends Brewing,21359,3.42,35.12048,-80.95954990000001,5
1357,Four Horsemen Brewing Company,27798,2.2,41.7156874,-86.25093369999999,4.4
1359,Four Sons Brewery Restaurant,9126,4.08,33.6864508,-117.989407,4.6
1361,Frampton Brasse,26535,3.67,46.484215,-70.789086,4.7
1363,Franconia Brewing Company,17033,3.91,33.213417,-96.609066,4.9
1364,Franconia Notch Brewing Company,1520,3.89,44.2805329,-71.6879189,4.6
1366,Frankenmuth Brewery,4861,3.67,43.3311219,-83.7377741,4.2
1371,Freeport Brewing Company,1500,3.62,43.839144,-70.12140699999999,4.7
